Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
86927,Australia,"With its high-toned, herbal and toasty style that sets it apart from the crowd, this distinctive Chardonnay may not be to everyone's taste. Shows lots of oak and powdered dry spices on the finish to accent the custardy-lemony fruit. Should age well and might surprise you in five years.",,87,45.0,Western Australia,Western Australia,,Joe Czerwinski,@JoeCz,Killerby 2000 Chardonnay (Western Australia),Chardonnay,Killerby
101320,US,"A lovely Merlot, light and spicy. It has pretty flavors of cherries, mocha and cinnamon, with fine, ripe tannins, with a sweetness from glycerine. An elegant Merlot at a good price.",,89,21.0,California,Napa Valley,Napa,,,Robert Mondavi 2008 Merlot (Napa Valley),Merlot,Robert Mondavi
40627,Italy,This blend of 80% Sangiovese and 20% Colorino has black cherry and underbrush aromas. The juicy black plum-inflected palate is accented by cinnamon and leather notes and a healthy dose of polished tannins. Enjoy through 2020.,Pian dei Sorbi Riserva,89,24.0,Tuscany,Chianti Rufina,,Kerin O’Keefe,@kerinokeefe,Marchesi Gondi 2012 Pian dei Sorbi Riserva  (Chianti Rufina),Red Blend,Marchesi Gondi
110595,France,"The structure is present as is the bright black-currant fruit. It has some richness, although it is tempered with acidity and a stalky character. Age for 2–3 years.",Cuvée Alliance,86,15.0,Southwest France,Bergerac,,Roger Voss,@vossroger,Château Bélingard 2010 Cuvée Alliance Red (Bergerac),Bordeaux-style Red Blend,Château Bélingard
44875,Spain,"This mild, plump and basic Chardonnay leads with peach blossom, yeast and cured ham scents. Its melon, peach and apricot flavors hollow out on a mild, yeasty tasting finish.",234,86,15.0,Northern Spain,Somontano,,Michael Schachner,@wineschach,Enate 2016 234 Chardonnay (Somontano),Chardonnay,Enate
22290,US,"Intoxicating aromas of plum jelly, violets, blueberry, chocolate and cinnamon are cut with a pencil-lead focus on this bottling by a family in the Paso wine game since 1908. Flavors of blackberry jelly are lifted by lavender and anise spice.",Osso Balenda Vineyard,92,40.0,California,Paso Robles,Central Coast,Matt Kettmann,@mattkettmann,Rotta 2013 Osso Balenda Vineyard Zinfandel (Paso Robles),Zinfandel,Rotta
9591,Portugal,"This lightly perfumed wine is crisp and clear. Apple and pear flavors are attractively packaged in fresh acidity and an orange-peel tang. The wine is still young, with its tight aftertaste, so wait until later in 2015 to drink.",Palha Canas,85,10.0,Lisboa,,,Roger Voss,@vossroger,Casa Santos Lima 2013 Palha Canas White (Lisboa),Portuguese White,Casa Santos Lima
51910,US,"Sangiovese is still rather rare in the Walla Walla Valley, but if this is any indication of the potential, it should become a distinctive and valued variety as the vines mature. Lovely aromatics of berry, spice, cedar and toast wrap into a pretty wine with flavors of light cherry, ash and a suggestion of underlying minerality.",,88,22.0,Washington,Walla Walla Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Mannina Cellars 2012 Sangiovese (Walla Walla Valley (WA)),Sangiovese,Mannina Cellars
101290,Portugal,A wine that is strangely hollow with structure and juicy fruit around a hole in the center. Spice and red berry flavors are contrasted with dry tannins that may not soften.,Oculto,83,,Tejo,,,Roger Voss,@vossroger,Quinta do Arrobe 2012 Oculto Red (Tejo),Portuguese Red,Quinta do Arrobe
108583,Spain,"Aromas are mulchy and lacking in freshness. This is mostly flat and lifeless, with candied as well as bitter cherry and red-apple-skin flavors. Residual sugar combined with bitterness push the finish on this marginal rosé of Cabernet Sauvignon.",,83,14.0,Northern Spain,Somontano,,Michael Schachner,@wineschach,Enate 2014 Rosado (Somontano),Rosado,Enate
