title,year,genre_1,genre_2,genre_3,director,imdb_rating,runtime_min,synopsis,country
A Long Promise,2014,Drama,,,Grace Sato,5.8,116,An unlikely hero must outwit a ruthless corporation to survive. A family reckons with loss while restoring an old seaside house.,France
A Distant Season,1981,Comedy,,,Ingrid Nguyen,5.5,110,A quiet town hides a secret that unravels over one long summer. An unlikely hero must outwit a ruthless corporation to survive.,Spain
A Distant Echo,1976,Documentary,Fantasy,,Ravi Larsen,6.2,82,Rivals in a small orchestra learn the cost of ambition. A quiet town hides a secret that unravels over one long summer.,Sweden
A Long Horizon,1980,Drama,Horror,,Grace Hall,4.6,148,Rivals in a small orchestra learn the cost of ambition. An unlikely hero must outwit a ruthless corporation to survive.,Brazil
A Distant Summer,1998,Comedy,,,Amara Reddy,6.3,91,A quiet town hides a secret that unravels over one long summer. Rivals in a small orchestra learn the cost of ambition.,Nigeria
A Golden Horizon,1977,Fantasy,Drama,,Ravi Okoro,5.1,89,An unlikely hero must outwit a ruthless corporation to survive. Two strangers cross paths and change the course of each other's lives.,Germany
A Long Horizon,1986,Documentary,Action,,Tomas Haddad,7.3,123,A quiet town hides a secret that unravels over one long summer. Rivals in a small orchestra learn the cost of ambition.,Germany
A Golden Season,1995,Mystery,Documentary,Comedy,Diego Larsen,8.1,97,"Rivals in a small orchestra learn the cost of ambition. In a near future, memory itself becomes the most valuable currency.",United States
A Quiet Season,2009,Sci-Fi,Thriller,Comedy,Wei Hall,9.0,140,Two strangers cross paths and change the course of each other's lives. An unlikely hero must outwit a ruthless corporation to survive.,Japan
A Long Promise,2020,Thriller,Documentary,Horror,Lars Ferrari,6.7,113,A road trip across the country becomes a search for belonging. An unlikely hero must outwit a ruthless corporation to survive.,Canada
A Bright Promise,2005,Thriller,,,Ravi Okoro,7.7,86,A detective's last case forces her to confront her own past. A family reckons with loss while restoring an old seaside house.,United States
A Quiet Summer,2006,Romance,Comedy,,Noah Yusuf,8.7,177,"In a near future, memory itself becomes the most valuable currency. A quiet town hides a secret that unravels over one long summer.",Spain
A Golden Season,1986,Documentary,Sci-Fi,,Sofia Khan,7.8,94,A detective's last case forces her to confront her own past. An unlikely hero must outwit a ruthless corporation to survive.,Germany
A Bright Echo,2010,Fantasy,Documentary,Mystery,Chloe Okoro,4.6,122,A road trip across the country becomes a search for belonging. A quiet town hides a secret that unravels over one long summer.,India
A Distant Horizon,1993,Comedy,Horror,Thriller,Grace Sato,8.4,161,An unlikely hero must outwit a ruthless corporation to survive. A detective's last case forces her to confront her own past.,India
A Long Summer,2001,Fantasy,Sci-Fi,,Ravi Okoro,6.2,87,A detective's last case forces her to confront her own past. A family reckons with loss while restoring an old seaside house.,Nigeria
A Quiet Promise,1979,Fantasy,Documentary,Comedy,Mateo Silva,5.2,85,"Rivals in a small orchestra learn the cost of ambition. In a near future, memory itself becomes the most valuable currency.",India
A Long Summer,2014,Drama,,,Sofia Khan,7.9,121,A detective's last case forces her to confront her own past. Rivals in a small orchestra learn the cost of ambition.,Canada
A Quiet Promise,1993,Comedy,,,Sofia Khan,7.1,93,Rivals in a small orchestra learn the cost of ambition. A road trip across the country becomes a search for belonging.,Brazil
A Golden Horizon,1979,Romance,Drama,,Mateo Silva,9.1,160,A family reckons with loss while restoring an old seaside house. Rivals in a small orchestra learn the cost of ambition.,Nigeria
A Golden Promise,2009,Mystery,Horror,,Yuki Khan,5.5,178,Two strangers cross paths and change the course of each other's lives. A family reckons with loss while restoring an old seaside house.,Germany
A Golden Echo,1975,Horror,,,Fatima Diallo,7.3,104,A quiet town hides a secret that unravels over one long summer. An unlikely hero must outwit a ruthless corporation to survive.,Canada
A Long Horizon,1997,Fantasy,Thriller,Mystery,Amara Reddy,5.4,137,An unlikely hero must outwit a ruthless corporation to survive. A road trip across the country becomes a search for belonging.,France
A Distant Horizon,1993,Horror,,,Mateo Berg,9.3,85,A quiet town hides a secret that unravels over one long summer. Rivals in a small orchestra learn the cost of ambition.,Sweden
A Long Echo,1998,Comedy,Thriller,,Tomas Haddad,4.8,104,Rivals in a small orchestra learn the cost of ambition. A detective's last case forces her to confront her own past.,Sweden
A Bright Horizon,1984,Romance,Fantasy,Documentary,Ravi Larsen,6.9,180,A road trip across the country becomes a search for belonging. A family reckons with loss while restoring an old seaside house.,United States
A Bright Summer,2016,Action,,,Nadia Rossi,5.2,111,A road trip across the country becomes a search for belonging. A quiet town hides a secret that unravels over one long summer.,Sweden
A Distant Season,1992,Action,Horror,,Fatima Silva,9.1,102,An unlikely hero must outwit a ruthless corporation to survive. A road trip across the country becomes a search for belonging.,Canada
A Quiet Promise,2018,Sci-Fi,Horror,,Ethan Brown,6.2,116,A road trip across the country becomes a search for belonging. Two strangers cross paths and change the course of each other's lives.,France
A Distant Echo,2015,Fantasy,Comedy,Romance,Amara Reddy,6.1,106,Rivals in a small orchestra learn the cost of ambition. A detective's last case forces her to confront her own past.,Canada
A Distant Summer,1993,Mystery,Action,,Ingrid Nguyen,6.8,122,An unlikely hero must outwit a ruthless corporation to survive. A detective's last case forces her to confront her own past.,Japan
A Bright Horizon,2004,Horror,Sci-Fi,Fantasy,Noah Yusuf,7.9,173,A detective's last case forces her to confront her own past. A quiet town hides a secret that unravels over one long summer.,Germany
A Quiet Promise,2005,Documentary,Action,Mystery,Nadia Berg,6.3,159,Two strangers cross paths and change the course of each other's lives. A quiet town hides a secret that unravels over one long summer.,Nigeria
A Long Promise,2007,Horror,,,Diego Patel,4.6,188,An unlikely hero must outwit a ruthless corporation to survive. A quiet town hides a secret that unravels over one long summer.,Canada
A Distant Horizon,2002,Horror,,,Ravi Nguyen,8.6,102,"In a near future, memory itself becomes the most valuable currency. A road trip across the country becomes a search for belonging.",India
A Bright Echo,2012,Romance,Horror,Action,Noah Yusuf,7.7,141,A detective's last case forces her to confront her own past. Two strangers cross paths and change the course of each other's lives.,Germany
A Golden Promise,1977,Action,Romance,,Ethan Brown,4.9,184,An unlikely hero must outwit a ruthless corporation to survive. A detective's last case forces her to confront her own past.,France
A Bright Echo,2008,Comedy,,,Yuki Bauer,8.4,104,A road trip across the country becomes a search for belonging. Two strangers cross paths and change the course of each other's lives.,Canada
A Bright Horizon,2015,Sci-Fi,Drama,,Noah Yusuf,4.7,88,Rivals in a small orchestra learn the cost of ambition. An unlikely hero must outwit a ruthless corporation to survive.,Germany
A Golden Summer,2001,Documentary,Horror,Action,Amara Reddy,6.9,83,"A road trip across the country becomes a search for belonging. In a near future, memory itself becomes the most valuable currency.",Spain
A Bright Echo,2013,Drama,Romance,,Fatima Silva,7.2,103,A quiet town hides a secret that unravels over one long summer. Two strangers cross paths and change the course of each other's lives.,Japan
A Quiet Horizon,1989,Fantasy,Drama,Action,Chloe Okoro,9.1,92,A road trip across the country becomes a search for belonging. A detective's last case forces her to confront her own past.,Japan
A Distant Summer,1988,Action,,,Ethan Brown,9.0,88,A family reckons with loss while restoring an old seaside house. A quiet town hides a secret that unravels over one long summer.,Nigeria
A Golden Echo,1989,Mystery,,,Fatima Silva,7.9,100,"A road trip across the country becomes a search for belonging. In a near future, memory itself becomes the most valuable currency.",Sweden
A Distant Summer,2000,Comedy,Action,Romance,Ravi Okoro,8.8,183,A family reckons with loss while restoring an old seaside house. An unlikely hero must outwit a ruthless corporation to survive.,Sweden
A Bright Promise,2008,Comedy,,,Ethan Brown,4.6,140,Rivals in a small orchestra learn the cost of ambition. A family reckons with loss while restoring an old seaside house.,India
A Quiet Summer,1990,Fantasy,Sci-Fi,,Grace Sato,7.4,145,An unlikely hero must outwit a ruthless corporation to survive. A quiet town hides a secret that unravels over one long summer.,United States
A Long Echo,2013,Sci-Fi,Comedy,Thriller,Ravi Nguyen,7.2,171,Two strangers cross paths and change the course of each other's lives. A detective's last case forces her to confront her own past.,Nigeria
A Bright Summer,2024,Thriller,Action,,Amara Reddy,6.6,158,Two strangers cross paths and change the course of each other's lives. A detective's last case forces her to confront her own past.,Sweden
A Golden Summer,2008,Horror,Comedy,,Nadia Rossi,8.1,166,An unlikely hero must outwit a ruthless corporation to survive. Rivals in a small orchestra learn the cost of ambition.,Sweden
A Bright Echo,1986,Documentary,,,Fatima Diallo,6.1,143,A family reckons with loss while restoring an old seaside house. Rivals in a small orchestra learn the cost of ambition.,Nigeria
A Quiet Echo,2000,Documentary,Action,,Lars Ferrari,8.7,133,Rivals in a small orchestra learn the cost of ambition. An unlikely hero must outwit a ruthless corporation to survive.,Sweden
A Long Promise,2009,Sci-Fi,,,Liam Khan,9.1,104,Two strangers cross paths and change the course of each other's lives. A quiet town hides a secret that unravels over one long summer.,Brazil
A Golden Horizon,1977,Thriller,Comedy,,Mateo Silva,5.8,143,"In a near future, memory itself becomes the most valuable currency. Two strangers cross paths and change the course of each other's lives.",India
A Golden Horizon,2013,Documentary,,,Ingrid Nguyen,5.0,144,"A quiet town hides a secret that unravels over one long summer. In a near future, memory itself becomes the most valuable currency.",Spain
A Distant Promise,2010,Fantasy,,,Tomas Brown,8.8,101,An unlikely hero must outwit a ruthless corporation to survive. A family reckons with loss while restoring an old seaside house.,Japan
A Quiet Season,2001,Thriller,,,Fatima Silva,5.9,137,A quiet town hides a secret that unravels over one long summer. A road trip across the country becomes a search for belonging.,Canada
A Long Echo,1979,Comedy,Action,,Ravi Larsen,7.9,97,An unlikely hero must outwit a ruthless corporation to survive. A family reckons with loss while restoring an old seaside house.,Japan
A Long Season,1977,Horror,,,Marcus Haddad,9.1,103,Two strangers cross paths and change the course of each other's lives. A quiet town hides a secret that unravels over one long summer.,United States
A Long Summer,2019,Sci-Fi,,,Ingrid Nguyen,5.5,118,Two strangers cross paths and change the course of each other's lives. A detective's last case forces her to confront her own past.,Sweden
A Distant Summer,2006,Horror,,,Yuki Bauer,9.1,185,Two strangers cross paths and change the course of each other's lives. Rivals in a small orchestra learn the cost of ambition.,Sweden
A Golden Season,1985,Sci-Fi,,,Diego Larsen,5.5,93,"A family reckons with loss while restoring an old seaside house. In a near future, memory itself becomes the most valuable currency.",Brazil
A Long Summer,2024,Mystery,Drama,,Ravi Okoro,7.3,183,"In a near future, memory itself becomes the most valuable currency. A quiet town hides a secret that unravels over one long summer.",France
A Bright Echo,2012,Fantasy,Horror,,Tomas Brown,9.1,111,An unlikely hero must outwit a ruthless corporation to survive. Two strangers cross paths and change the course of each other's lives.,India
A Golden Promise,2020,Thriller,,,Sofia Khan,6.1,139,Rivals in a small orchestra learn the cost of ambition. A detective's last case forces her to confront her own past.,Germany
A Distant Horizon,1985,Thriller,Romance,Fantasy,Lars Ferrari,6.7,157,"In a near future, memory itself becomes the most valuable currency. Rivals in a small orchestra learn the cost of ambition.",United States
A Quiet Season,2006,Romance,Mystery,Drama,Mateo Berg,7.7,115,Rivals in a small orchestra learn the cost of ambition. A quiet town hides a secret that unravels over one long summer.,Japan
A Long Summer,2000,Thriller,Romance,,Sofia Khan,4.6,180,A detective's last case forces her to confront her own past. Two strangers cross paths and change the course of each other's lives.,United States
A Long Season,1985,Sci-Fi,Documentary,Action,Tomas Brown,7.0,129,Rivals in a small orchestra learn the cost of ambition. A detective's last case forces her to confront her own past.,Canada
A Bright Promise,2019,Sci-Fi,Romance,Documentary,Diego Patel,7.8,143,"An unlikely hero must outwit a ruthless corporation to survive. In a near future, memory itself becomes the most valuable currency.",Canada
A Long Echo,1988,Documentary,,,Ravi Okoro,6.7,87,A detective's last case forces her to confront her own past. An unlikely hero must outwit a ruthless corporation to survive.,Sweden
A Long Season,2001,Drama,,,Tomas Haddad,5.1,143,A road trip across the country becomes a search for belonging. An unlikely hero must outwit a ruthless corporation to survive.,Canada
A Quiet Summer,1980,Fantasy,Horror,,Ravi Nguyen,8.0,130,Two strangers cross paths and change the course of each other's lives. A quiet town hides a secret that unravels over one long summer.,Brazil
A Quiet Summer,2012,Sci-Fi,Horror,Comedy,Lars Ferrari,7.8,121,A family reckons with loss while restoring an old seaside house. Two strangers cross paths and change the course of each other's lives.,France
A Quiet Horizon,2005,Documentary,Thriller,Fantasy,Sofia Khan,4.6,83,Two strangers cross paths and change the course of each other's lives. A family reckons with loss while restoring an old seaside house.,Japan
A Long Season,2011,Thriller,Horror,,Fatima Silva,7.5,127,A detective's last case forces her to confront her own past. An unlikely hero must outwit a ruthless corporation to survive.,India
A Bright Season,2007,Action,Horror,Comedy,Tomas Haddad,8.6,114,"In a near future, memory itself becomes the most valuable currency. A road trip across the country becomes a search for belonging.",France
A Long Season,2013,Comedy,Mystery,Documentary,Wei Hall,6.1,94,Rivals in a small orchestra learn the cost of ambition. An unlikely hero must outwit a ruthless corporation to survive.,India
A Golden Summer,1990,Thriller,Comedy,,Noah Yusuf,7.9,80,"In a near future, memory itself becomes the most valuable currency. An unlikely hero must outwit a ruthless corporation to survive.",India
A Bright Season,1975,Comedy,Sci-Fi,,Grace Hall,5.7,138,An unlikely hero must outwit a ruthless corporation to survive. A road trip across the country becomes a search for belonging.,Germany
A Quiet Summer,2013,Horror,Comedy,Thriller,Fatima Silva,7.4,141,"A family reckons with loss while restoring an old seaside house. In a near future, memory itself becomes the most valuable currency.",Spain
A Quiet Echo,1977,Comedy,Action,,Ingrid Nguyen,9.1,106,An unlikely hero must outwit a ruthless corporation to survive. A road trip across the country becomes a search for belonging.,United States
A Long Echo,1989,Comedy,Action,Thriller,Wei Hall,6.8,105,A road trip across the country becomes a search for belonging. Rivals in a small orchestra learn the cost of ambition.,Spain
A Long Season,2024,Drama,,,Ravi Larsen,5.5,154,"Rivals in a small orchestra learn the cost of ambition. In a near future, memory itself becomes the most valuable currency.",Canada
A Golden Horizon,2004,Romance,Mystery,Sci-Fi,Ravi Nguyen,6.4,162,An unlikely hero must outwit a ruthless corporation to survive. Two strangers cross paths and change the course of each other's lives.,Canada
A Golden Echo,1975,Mystery,Drama,Documentary,Ravi Larsen,4.5,83,A road trip across the country becomes a search for belonging. A quiet town hides a secret that unravels over one long summer.,India
A Long Horizon,2006,Horror,Romance,,Liam Khan,6.7,109,A detective's last case forces her to confront her own past. An unlikely hero must outwit a ruthless corporation to survive.,Canada
A Long Echo,2008,Fantasy,Horror,Thriller,Sofia Khan,5.0,186,"In a near future, memory itself becomes the most valuable currency. Rivals in a small orchestra learn the cost of ambition.",Japan
A Distant Promise,1998,Mystery,Action,,Grace Sato,8.2,131,A road trip across the country becomes a search for belonging. A detective's last case forces her to confront her own past.,France
A Bright Summer,1978,Horror,,,Fatima Diallo,6.0,100,Rivals in a small orchestra learn the cost of ambition. A family reckons with loss while restoring an old seaside house.,Japan
A Long Summer,1995,Action,Sci-Fi,Fantasy,Diego Patel,4.6,185,A family reckons with loss while restoring an old seaside house. A road trip across the country becomes a search for belonging.,India
A Bright Summer,2016,Sci-Fi,Action,,Ravi Nguyen,7.1,84,Two strangers cross paths and change the course of each other's lives. An unlikely hero must outwit a ruthless corporation to survive.,Nigeria
A Bright Horizon,1990,Thriller,Comedy,Sci-Fi,Lars Ferrari,4.9,186,Two strangers cross paths and change the course of each other's lives. Rivals in a small orchestra learn the cost of ambition.,Brazil
A Quiet Promise,1984,Drama,,,Sofia Khan,5.3,95,Two strangers cross paths and change the course of each other's lives. A family reckons with loss while restoring an old seaside house.,Spain
A Golden Promise,1996,Comedy,Drama,,Tomas Brown,4.7,90,An unlikely hero must outwit a ruthless corporation to survive. A detective's last case forces her to confront her own past.,Brazil
A Quiet Horizon,1983,Romance,Sci-Fi,,Tomas Brown,8.2,153,"Rivals in a small orchestra learn the cost of ambition. In a near future, memory itself becomes the most valuable currency.",India
A Quiet Horizon,1991,Fantasy,,,Fatima Silva,6.8,124,Rivals in a small orchestra learn the cost of ambition. A quiet town hides a secret that unravels over one long summer.,Japan
A Distant Season,2004,Horror,Fantasy,Thriller,Yuki Bauer,9.3,82,A family reckons with loss while restoring an old seaside house. A detective's last case forces her to confront her own past.,Sweden
A Distant Summer,1989,Sci-Fi,Horror,,Tomas Haddad,6.0,173,"A family reckons with loss while restoring an old seaside house. In a near future, memory itself becomes the most valuable currency.",Sweden
A Bright Summer,2008,Fantasy,,,Fatima Diallo,8.1,177,A road trip across the country becomes a search for belonging. A family reckons with loss while restoring an old seaside house.,Japan
A Long Summer,1976,Mystery,Documentary,Comedy,Omar Tanaka,5.4,186,"A detective's last case forces her to confront her own past. In a near future, memory itself becomes the most valuable currency.",Japan
A Golden Season,2013,Mystery,Thriller,Fantasy,Noah Yusuf,5.4,89,"A detective's last case forces her to confront her own past. In a near future, memory itself becomes the most valuable currency.",Spain
