sku,product_name,category,price,in_stock,rating,description,launch_date
SKU-100000,Premium Speaker,Electronics,$672.99,false,2.6,,2023-07-14
SKU-100001,Modular Headphones,Office,$152.99,true,3.2,,2023-03-10
SKU-100002,Rugged Headphones,Office,$867.99,false,3.3,,2023-01-20
SKU-100003,Modular Tent,Beauty,1025.99,false,4.1,Made from recycled materials and fully recyclable packaging. Handles heavy daily use without losing performance. Ships flat and assembles in under ten minutes with no tools.,2023-04-03
SKU-100004,Eco-Friendly Kettle,Electronics,623.99,true,4.5,Handles heavy daily use without losing performance. Ships flat and assembles in under ten minutes with no tools. Rated best-in-class for battery life by independent reviewers.,2023-08-14
SKU-100005,Smart Drone,Beauty,$89.99,false,unrated,A customer favourite that consistently earns five-star reviews. Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance.,2023-08-23
SKU-100006,Modular Tent,Toys,"$1,369.99",false,3.9,"Designed in Scandinavia with a minimalist, timeless look. Engineered for everyday durability with a two-year warranty. Made from recycled materials and fully recyclable packaging.",2023-10-04
SKU-100007,Lightweight Chair,Automotive,"$1,020.99",false,4.1,Ships flat and assembles in under ten minutes with no tools. A customer favourite that consistently earns five-star reviews. Made from recycled materials and fully recyclable packaging.,2023-05-05
SKU-100008,Ergonomic Desk Lamp,Outdoor,890.99,true,3.8,Rated best-in-class for battery life by independent reviewers. Ships flat and assembles in under ten minutes with no tools. Handles heavy daily use without losing performance.,2023-01-16
SKU-100009,Rugged Chair,Beauty,"$1,711.99",false,2.1,"Rated best-in-class for battery life by independent reviewers. Designed in Scandinavia with a minimalist, timeless look. Backed by responsive customer support and easy returns.",2023-11-22
SKU-100010,Ergonomic Chair,Automotive,119.99,false,4.6,"Ships flat and assembles in under ten minutes with no tools. Made from recycled materials and fully recyclable packaging. Designed in Scandinavia with a minimalist, timeless look.",2023-04-03
SKU-100011,Compact Headphones,Home & Kitchen,$436.99,true,unrated,,2023-04-20
SKU-100012,Smart Tent,Electronics,313.99,true,unrated,A customer favourite that consistently earns five-star reviews. Made from recycled materials and fully recyclable packaging. Handles heavy daily use without losing performance.,2023-02-05
SKU-100013,Rugged Speaker,Home & Kitchen,1544.99,true,4.0,"Designed in Scandinavia with a minimalist, timeless look. Ships flat and assembles in under ten minutes with no tools. A customer favourite that consistently earns five-star reviews.",2023-01-25
SKU-100014,Cordless Drone,Outdoor,"$1,090.99",false,3.8,Made from recycled materials and fully recyclable packaging. Backed by responsive customer support and easy returns. Handles heavy daily use without losing performance.,2023-06-21
SKU-100015,Lightweight Desk Lamp,Garden,$465.99,false,4.2,Engineered for everyday durability with a two-year warranty. A customer favourite that consistently earns five-star reviews. Rated best-in-class for battery life by independent reviewers.,2023-04-23
SKU-100016,Smart Headphones,Office,1967.99,true,2.8,Made from recycled materials and fully recyclable packaging. A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools.,2023-08-20
SKU-100017,Premium Headphones,Automotive,"$1,852.99",true,2.9,A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools. Made from recycled materials and fully recyclable packaging.,2023-06-03
SKU-100018,Rugged Backpack,Outdoor,1946.99,true,2.9,Rated best-in-class for battery life by independent reviewers. Backed by responsive customer support and easy returns. Made from recycled materials and fully recyclable packaging.,2023-03-20
SKU-100019,Rugged Speaker,Outdoor,1229.99,true,3.6,"Engineered for everyday durability with a two-year warranty. Handles heavy daily use without losing performance. Designed in Scandinavia with a minimalist, timeless look.",2023-09-24
SKU-100020,Lightweight Blender,Toys,294.99,true,4.9,Backed by responsive customer support and easy returns. A customer favourite that consistently earns five-star reviews. Ships flat and assembles in under ten minutes with no tools.,2023-06-09
SKU-100021,Stainless Kettle,Automotive,"$1,123.99",true,1.2,,2023-08-25
SKU-100022,Rugged Backpack,Garden,$384.99,true,4.1,"Engineered for everyday durability with a two-year warranty. Rated best-in-class for battery life by independent reviewers. Designed in Scandinavia with a minimalist, timeless look.",2023-09-16
SKU-100023,Lightweight Desk Lamp,Toys,"$1,615.99",true,4.5,Ships flat and assembles in under ten minutes with no tools. Backed by responsive customer support and easy returns. Made from recycled materials and fully recyclable packaging.,2023-02-15
